medication_key,medication_code,medication_name,unit_price,current_stock,critical_stock_level,is_active,created_at
1,ASPIRIN_100M,Aspirin 100mg,2.5,0,15,1,2026-05-13 01:48:12
2,LISINOPRIL_1,Lisinopril 10mg,4.5,235,22,1,2026-05-13 01:48:12
3,ATORVASTATIN,Atorvastatin 20mg,12.0,75,19,1,2026-05-13 01:48:12
4,BISOPROLOL_5,Bisoprolol 5mg,8.0,0,17,1,2026-05-13 01:48:12
5,WARFARIN_5MG,Warfarin 5mg,6.0,305,16,1,2026-05-13 01:48:12
6,PARACETAMOL_,Paracetamol Şurup,2.2,58,17,1,2026-05-13 01:48:12
7,AMOKSISILIN_,Amoksisilin 250mg/5ml,9.0,234,22,1,2026-05-13 01:48:12
8,DESLORATADIN,Desloratadin Şurup,7.5,538,15,1,2026-05-13 01:48:12
9,PROBIYOTIK_S,Probiyotik Saşe,12.0,221,28,1,2026-05-13 01:48:12
10,BUDESONID_İN,Budesonid İnhaler,38.0,220,29,1,2026-05-13 01:48:12
11,METFORMIN_10,Metformin 1000mg,5.0,184,15,1,2026-05-13 01:48:12
12,LEVOTHYROXIN,Levothyroxine 50mcg,6.0,46,28,1,2026-05-13 01:48:12
13,OMEPRAZOL_20,Omeprazol 20mg,4.2,238,23,1,2026-05-13 01:48:12
14,VITAMIN_D3_5,Vitamin D3 5000IU,7.5,70,21,1,2026-05-13 01:48:12
15,PANTOPRAZOL_,Pantoprazol 40mg,6.8,250,18,1,2026-05-13 01:48:12
16,DICLOFENAC_7,Diclofenac 75mg,4.0,0,27,1,2026-05-13 01:48:12
18,PREGABALIN_7,Pregabalin 75mg,18.5,202,23,1,2026-05-13 01:48:12
19,SUMATRIPTAN_,Sumatriptan 50mg,32.0,0,29,1,2026-05-13 01:48:12
20,LEVETIRACETA,Levetiracetam 500mg,24.0,0,27,1,2026-05-13 01:48:12
21,NAPROXEN_500,Naproxen 500mg,5.5,0,24,1,2026-05-13 01:48:12
22,IBUPROFEN_40,Ibuprofen 400mg,3.0,194,21,1,2026-05-13 01:48:12
23,KALSIYUM_+_D,Kalsiyum + D3,9.0,0,16,1,2026-05-13 01:48:12
24,KONDROITIN_S,Kondroitin Sülfat 800mg,22.0,50,24,1,2026-05-13 01:48:12
25,TRAMADOL_50M,Tramadol 50mg,8.5,0,22,1,2026-05-13 01:48:12
26,DEMIR_SÜLFAT,Demir Sülfat + Folik Asit,7.0,21,27,1,2026-05-13 01:48:12
27,PROGESTERON_,Progesteron 200mg,22.0,155,29,1,2026-05-13 01:48:12
28,FLUKONAZOL_1,Flukonazol 150mg,11.0,261,20,1,2026-05-13 01:48:12
29,METRONIDAZOL,Metronidazol 500mg,5.0,279,26,1,2026-05-13 01:48:12
30,KALSIYUM_+_M,Kalsiyum + Magnezyum,9.5,143,23,1,2026-05-13 01:48:12
31,BETAMETAZON_,Betametazon Krem %0.1,14.0,0,20,1,2026-05-13 01:48:12
32,ADAPALENE_%0,Adapalene %0.1 Jel,28.0,82,20,1,2026-05-13 01:48:12
33,LORATADIN_10,Loratadin 10mg,5.0,349,27,1,2026-05-13 01:48:12
34,TERBINAFIN_K,Terbinafin Krem %1,16.0,96,22,1,2026-05-13 01:48:12
35,MOMETAZON_FU,Mometazon Furoat Krem,19.5,193,16,1,2026-05-13 01:48:12
36,VITAMIN_C_50,Vitamin C 500mg,3.5,0,16,1,2026-05-13 01:48:12
38,ANTIHISTAMIN,Antihistaminik Tablet,5.0,0,17,1,2026-05-13 01:48:12
39,B12_VITAMINI,B12 Vitamini,4.8,0,25,1,2026-05-13 01:48:12
